,wt_seg_size,tc_seg_size,et_seg_size,image_size
0,111724,58674,31485,8928000
1,139257,65516,19677,8928000
2,210327,76709,42366,8928000
3,20487,4880,4467,8928000
4,187570,57699,36577,8928000
5,198692,72689,60991,8928000
6,173928,25664,21250,8928000
7,80682,45266,18354,8928000
8,217380,107445,43379,8928000
9,120674,75471,17816,8928000
10,256875,115940,67135,8928000
11,147786,124097,72360,8928000
12,21615,9121,708,8928000
13,12969,4988,4678,8928000
14,82735,32164,20437,8928000
15,61085,26191,21677,8928000
16,100886,33617,23187,8928000
17,149347,36252,19840,8928000
18,63061,9325,8219,8928000
19,137301,46495,26264,8928000
20,211979,43185,27742,8928000
21,67008,15709,6549,8928000
22,29807,3731,2998,8928000
23,103496,26400,15498,8928000
24,21963,14410,10786,8928000
25,139230,44774,24947,8928000
26,39772,9557,6159,8928000
27,33446,1368,1211,8928000
28,183094,76260,50901,8928000
29,44582,6994,6473,8928000
30,55130,10377,5774,8928000
31,32051,8280,5973,8928000
32,46339,14535,4039,8928000
33,80396,27568,18255,8928000
34,125287,17677,9002,8928000
35,127189,41082,13031,8928000
36,100758,14713,7222,8928000
37,45118,2036,1695,8928000
38,43797,20547,9813,8928000
39,175675,118709,27410,8928000
40,36858,5669,3003,8928000
41,68118,30637,18221,8928000
42,41124,17526,10937,8928000
43,95627,28472,23272,8928000
44,73437,36909,17433,8928000
45,180618,34913,23676,8928000
46,66648,25413,16760,8928000
47,20935,15027,9281,8928000
48,62354,7394,5701,8928000
49,99909,7897,6149,8928000
50,87609,28727,22108,8928000
51,26500,17430,9563,8928000
52,122656,24355,16009,8928000
53,91573,44985,24430,8928000
54,78815,48208,24262,8928000
55,14830,5751,5166,8928000
56,189011,24963,15211,8928000
57,100879,37230,26254,8928000
58,51853,19018,12826,8928000
59,171454,48395,28203,8928000
60,101416,34327,15158,8928000
61,75949,40795,20908,8928000
62,37429,7706,2624,8928000
63,19150,1814,1412,8928000
64,97205,56666,40108,8928000
65,36342,1520,1357,8928000
66,132682,62246,32001,8928000
67,29239,3461,2041,8928000
68,83418,7635,6047,8928000
69,82780,68033,32372,8928000
70,121570,17554,13105,8928000
71,45951,16886,10897,8928000
72,149897,21470,9075,8928000
73,80574,37646,30995,8928000
74,118394,15167,8577,8928000
75,55364,34000,25128,8928000
76,91132,11762,8613,8928000
77,91646,17190,6708,8928000
78,25918,2073,1172,8928000
79,87324,34530,16172,8928000
80,20876,13410,6532,8928000
81,142132,50151,30143,8928000
82,13459,3069,2287,8928000
83,95815,79911,35310,8928000
84,24955,3864,2830,8928000
85,59246,15461,8665,8928000
86,130505,44565,30709,8928000
87,63159,34016,14186,8928000
88,160010,34929,15631,8928000
89,57830,35286,12743,8928000
90,154279,19017,13041,8928000
91,89189,48415,37598,8928000
92,44519,16929,9460,8928000
93,76789,38451,22496,8928000
94,185137,115876,35387,8928000
95,42204,19027,10595,8928000
96,50183,11695,7959,8928000
97,39411,7174,4321,8928000
98,7285,3609,1470,8928000
99,43464,10560,6688,8928000
100,31532,17680,8450,8928000
101,10101,6295,4518,8928000
102,73658,10558,7167,8928000
103,57075,27561,17506,8928000
104,36221,7813,3691,8928000
105,20752,561,106,8928000
106,26806,7516,406,8928000
107,30654,11929,9619,8928000
108,37828,12163,8994,8928000
109,143759,39933,35721,8928000
110,66802,36684,35019,8928000
111,146494,70168,16944,8928000
112,53787,19701,12114,8928000
113,24434,8711,4362,8928000
114,154508,70505,45111,8928000
115,186689,95022,79009,8928000
116,105852,46728,3852,8928000
117,95391,28513,25236,8928000
118,99859,25202,13224,8928000
119,92661,59531,46904,8928000
120,125370,56563,43375,8928000
121,134271,39718,13892,8928000
122,222999,62318,50410,8928000
123,12952,1241,1037,8928000
124,163378,101553,74539,8928000
125,38314,2046,1662,8928000
126,107328,41675,34538,8928000
127,80769,26245,17276,8928000
128,127812,82014,33404,8928000
129,55781,36146,26241,8928000
130,80218,30663,18881,8928000
131,150805,103704,87753,8928000
132,81847,37146,33532,8928000
133,110151,37263,19875,8928000
134,130288,53790,29915,8928000
135,44798,4664,4539,8928000
136,89516,13311,9371,8928000
137,42233,11281,9134,8928000
138,31109,4782,4439,8928000
139,166140,67394,36506,8928000
140,45281,10095,9769,8928000
141,175646,63343,47361,8928000
142,67704,8648,6929,8928000
143,122929,42503,26938,8928000
144,99624,77990,38724,8928000
145,59206,27493,25463,8928000
146,88649,50042,31255,8928000
147,129841,58843,50084,8928000
148,19075,9318,8858,8928000
149,66816,18677,17941,8928000
150,175302,42239,36248,8928000
151,107194,55342,30381,8928000
152,131589,72106,54064,8928000
153,186261,56943,49748,8928000
154,50735,32325,21184,8928000
155,91560,56625,39514,8928000
156,97135,28526,22125,8928000
157,168187,45124,38840,8928000
158,23456,5415,5096,8928000
159,162623,79535,63709,8928000
160,57168,19273,15114,8928000
161,184720,100041,27851,8928000
162,64347,44191,19458,8928000
163,97212,46231,28207,8928000
164,110210,33808,29059,8928000
165,30490,10896,8609,8928000
166,111312,82517,61113,8928000
167,159632,32983,30477,8928000
168,117937,27550,18666,8928000
169,60356,39093,17097,8928000
170,161557,86271,68592,8928000
171,21984,11879,8813,8928000
172,66672,36002,25944,8928000
173,148030,93742,58416,8928000
174,206134,120221,111250,8928000
175,77278,21485,14157,8928000
176,73827,14252,10910,8928000
177,69628,48390,40616,8928000
178,90740,15664,15090,8928000
179,91751,16834,9523,8928000
180,52898,6118,4951,8928000
181,132171,45006,40450,8928000
182,16748,2702,2642,8928000
183,74986,35839,29516,8928000
184,169918,57508,47182,8928000
185,162397,26485,16998,8928000
186,157749,109824,11994,8928000
187,200621,117104,65092,8928000
188,168746,37504,5899,8928000
189,176056,115839,39005,8928000
190,156762,77250,69134,8928000
191,54958,36247,27478,8928000
192,154118,20508,14523,8928000
193,227126,71071,48062,8928000
194,75085,17927,7337,8928000
195,149604,62554,26937,8928000
196,138051,84354,52126,8928000
197,119314,13550,10957,8928000
198,87193,65926,36345,8928000
199,163612,106214,79560,8928000
200,172673,126716,77776,8928000
201,82921,20900,17626,8928000
202,82023,12453,10930,8928000
203,156606,67643,58556,8928000
204,70781,49349,26417,8928000
205,58817,21750,20160,8928000
206,43881,26393,14699,8928000
207,73791,3265,3218,8928000
208,122734,63849,26259,8928000
209,204242,73458,44531,8928000
